Timestamp,Sensor ID,Pressure Reading (Pa),Operational Status,Last Maintenance Date,Ambient Temperature,Vibration Level,Sensor Model,Last Calibration Date,Error Code
2023-01-01 00:00:00,PS205,102672.75948035397,Working,2022-10-23 00:00:00,23.250114193226835,Low,PS-L4,2022-11-25 00:00:00,NA
2023-01-01 01:00:00,PS205,111649.72042985272,Needs Maintenance,2022-10-08 01:00:00,22.014418925873372,Medium,PS-L4,2022-09-20 01:00:00,NA
2023-01-01 02:00:00,PS205,100905.99990219007,Working,2022-11-12 02:00:00,21.01493622976694,Medium,PS-L4,2022-08-06 02:00:00,NA
2023-01-01 03:00:00,PS205,107285.27941117257,Working,2022-07-07 03:00:00,22.733542032549813,Low,PS-L4,2022-10-10 03:00:00,E201
2023-01-01 04:00:00,PS205,108644.47715440612,Working,2022-07-23 04:00:00,20.225478362747275,High,PS-L4,2022-10-30 04:00:00,NA
2023-01-01 05:00:00,PS205,102836.53036755743,Working,2022-07-08 05:00:00,18.79023433436136,Medium,PS-L4,2022-09-05 05:00:00,NA
2023-01-01 06:00:00,PS205,101608.23034925283,Working,2022-07-12 06:00:00,24.890858078577004,Medium,PS-L4,2022-10-30 06:00:00,NA
2023-01-01 07:00:00,PS205,105719.52471660446,Working,2022-07-14 07:00:00,19.467660563297972,Low,PS-L4,2022-09-27 07:00:00,NA
2023-01-01 08:00:00,PS205,108638.3276151024,Working,2022-11-03 08:00:00,20.385943966139042,Low,PS-L4,2022-09-02 08:00:00,NA
2023-01-01 09:00:00,PS205,98579.24747761659,Working,2022-08-18 09:00:00,19.893499841801606,Medium,PS-L4,2022-10-30 09:00:00,NA
2023-01-01 10:00:00,PS205,98131.73861614763,Working,2022-11-19 10:00:00,18.689276006813973,Low,PS-L4,2022-11-25 10:00:00,NA
2023-01-01 11:00:00,PS205,108209.68169143458,Working,2022-10-06 11:00:00,23.510914338629703,Low,PS-L4,2022-07-19 11:00:00,NA
2023-01-01 12:00:00,PS205,100490.07645894816,Down,2022-08-13 12:00:00,19.789677107471558,High,PS-L4,2022-09-25 12:00:00,NA
2023-01-01 13:00:00,PS205,105655.38174454683,Working,2022-10-01 13:00:00,23.833340394812893,Medium,PS-L4,2022-07-16 13:00:00,NA
2023-01-01 14:00:00,PS205,105728.16073403794,Working,2022-08-06 14:00:00,18.388856403552516,Low,PS-L4,2022-08-11 14:00:00,NA
2023-01-01 15:00:00,PS205,109638.09760637747,Working,2022-10-01 15:00:00,22.74958002397166,Medium,PS-L4,2022-09-20 15:00:00,NA
2023-01-01 16:00:00,PS205,110662.88895975084,Working,2022-07-18 16:00:00,20.916879928111907,Low,PS-L4,2022-12-02 16:00:00,NA
2023-01-01 17:00:00,PS205,112169.39891617483,Working,2022-08-24 17:00:00,21.27634339820934,Low,PS-L4,2022-07-30 17:00:00,NA
2023-01-01 18:00:00,PS205,103175.14158294695,Working,2022-09-15 18:00:00,18.00759942442588,Low,PS-L4,2022-07-12 18:00:00,NA
2023-01-01 19:00:00,PS205,110800.77385719065,Working,2022-10-09 19:00:00,18.359721821813917,Medium,PS-L4,2022-07-31 19:00:00,NA
2023-01-01 20:00:00,PS205,111719.9780798699,Working,2022-10-14 20:00:00,23.86140837149956,Medium,PS-L4,2022-09-06 20:00:00,NA
2023-01-01 21:00:00,PS205,106220.72156920176,Working,2022-10-07 21:00:00,20.136224785005282,Medium,PS-L4,2022-09-24 21:00:00,NA
2023-01-01 22:00:00,PS205,108028.97760938597,Working,2022-08-16 22:00:00,24.546336911936553,Medium,PS-L4,2022-07-22 22:00:00,NA
