Timestamp,Sensor ID,Temperature Reading (°C),Operational Status,Last Maintenance Date,Ambient Humidity,Heat Source Proximity,Sensor Model,Last Calibration Date,Error Code
2023-01-01 00:00:00,TS313,21.22443089250116,Down,2022-11-22 00:00:00,59.4508182251699,Medium,TS-T2,2022-11-23 00:00:00,NA
2023-01-01 01:00:00,TS313,23.510171205071728,Working,2022-08-23 01:00:00,55.94079522754156,Far,TS-T2,2022-09-21 01:00:00,NA
2023-01-01 02:00:00,TS313,22.493797098757085,Working,2022-08-30 02:00:00,48.724091153779696,Medium,TS-T2,2022-09-29 02:00:00,NA
2023-01-01 03:00:00,TS313,21.04973875100237,Working,2022-09-20 03:00:00,68.03624975255853,Far,TS-T2,2022-07-26 03:00:00,NA
2023-01-01 04:00:00,TS313,21.540938829768017,Needs Maintenance,2022-07-30 04:00:00,44.02595684977773,Far,TS-T2,2022-10-11 04:00:00,NA
2023-01-01 05:00:00,TS313,25.532044160239842,Working,2022-08-30 05:00:00,69.75307946808388,Medium,TS-T2,2022-12-02 05:00:00,NA
2023-01-01 06:00:00,TS313,22.693763770041112,Needs Maintenance,2022-10-21 06:00:00,62.76869954334063,Medium,TS-T2,2022-11-15 06:00:00,NA
2023-01-01 07:00:00,TS313,23.03157503817927,Working,2022-08-19 07:00:00,67.80690260726766,Far,TS-T2,2022-11-01 07:00:00,NA
2023-01-01 08:00:00,TS313,21.750116879207244,Working,2022-11-01 08:00:00,34.229721876726316,Medium,TS-T2,2022-08-04 08:00:00,NA
2023-01-01 09:00:00,TS313,20.80582126033332,Working,2022-11-10 09:00:00,55.86013939449418,Medium,TS-T2,2022-08-10 09:00:00,NA
2023-01-01 10:00:00,TS313,23.707001138254785,Needs Maintenance,2022-09-30 10:00:00,50.54951011577594,Near,TS-T2,2022-10-28 10:00:00,NA
2023-01-01 11:00:00,TS313,23.77290147418753,Needs Maintenance,2022-10-28 11:00:00,68.12578691877765,Medium,TS-T2,2022-07-18 11:00:00,E302
2023-01-01 12:00:00,TS313,21.038994021683596,Working,2022-11-21 12:00:00,58.350062060313064,Medium,TS-T2,2022-11-19 12:00:00,NA
2023-01-01 13:00:00,TS313,21.583764949258946,Working,2022-10-02 13:00:00,51.13820381437491,Medium,TS-T2,2022-10-11 13:00:00,NA
2023-01-01 14:00:00,TS313,22.86201377109814,Working,2022-09-27 14:00:00,42.28687661214309,Medium,TS-T2,2022-08-12 14:00:00,NA
2023-01-01 15:00:00,TS313,21.1840119938895,Working,2022-07-29 15:00:00,61.21155885144565,Far,TS-T2,2022-07-11 15:00:00,NA
2023-01-01 16:00:00,TS313,23.756112019614353,Working,2022-07-12 16:00:00,53.41745468829937,Far,TS-T2,2022-07-20 16:00:00,NA
2023-01-01 17:00:00,TS313,22.020905313759496,Working,2022-10-30 17:00:00,37.41991895090302,Near,TS-T2,2022-11-19 17:00:00,NA
2023-01-01 18:00:00,TS313,23.924577758786388,Needs Maintenance,2022-10-31 18:00:00,39.3264408884085,Far,TS-T2,2022-08-03 18:00:00,NA
2023-01-01 19:00:00,TS313,23.263562247440913,Working,2022-07-17 19:00:00,63.768503233418066,Medium,TS-T2,2022-09-11 19:00:00,E301
2023-01-01 20:00:00,TS313,21.259066946955272,Working,2022-10-04 20:00:00,58.75362422011922,Medium,TS-T2,2022-08-01 20:00:00,NA
2023-01-01 21:00:00,TS313,21.472122606330444,Working,2022-08-22 21:00:00,51.31460755518238,Near,TS-T2,2022-10-19 21:00:00,NA
2023-01-01 22:00:00,TS313,25.749096079907904,Working,2022-09-18 22:00:00,66.769967576744,Medium,TS-T2,2022-07-17 22:00:00,NA
2023-01-01 23:00:00,TS313,21.30750219743294,Working,2022-09-06 23:00:00,60.69306114943046,Medium,TS-T2,2022-10-02 23:00:00,NA
2023-01-02 00:00:00,TS313,18.00476431648768,Needs Maintenance,2022-11-30 00:00:00,58.081571059329434,Medium,TS-T2,2022-07-28 00:00:00,NA
2023-01-02 01:00:00,TS313,20.90212581615334,Working,2022-11-13 01:00:00,60.49217473280254,Far,TS-T2,2022-10-09 01:00:00,NA
2023-01-02 02:00:00,TS313,24.205070203001114,Working,2022-09-09 02:00:00,37.72123338282701,Medium,TS-T2,2022-10-06 02:00:00,NA
2023-01-02 03:00:00,TS313,20.24794944305109,Working,2022-08-31 03:00:00,65.65515461423908,Near,TS-T2,2022-09-29 03:00:00,NA
2023-01-02 04:00:00,TS313,21.720405501561192,Needs Maintenance,2022-07-08 04:00:00,33.665826557476336,Near,TS-T2,2022-09-06 04:00:00,NA
2023-01-02 05:00:00,TS313,23.236625321605388,Working,2022-09-08 05:00:00,59.98665745164388,Medium,TS-T2,2022-09-16 05:00:00,NA
2023-01-02 06:00:00,TS313,25.48155988969122,Down,2022-10-25 06:00:00,34.397050403229365,Near,TS-T2,2022-12-03 06:00:00,E302
2023-01-02 07:00:00,TS313,24.639711126267223,Down,2022-09-15 07:00:00,54.750344353369286,Medium,TS-T2,2022-07-14 07:00:00,NA
2023-01-02 08:00:00,TS313,20.859325930891323,Working,2022-10-26 08:00:00,41.14743156845451,Far,TS-T2,2022-08-24 08:00:00,NA
2023-01-02 09:00:00,TS313,24.13076831083841,Needs Maintenance,2022-09-25 09:00:00,66.35694373536936,Medium,TS-T2,2022-11-27 09:00:00,NA
2023-01-02 10:00:00,TS313,24.128495612287395,Working,2022-11-13 10:00:00,56.54535804899629,Medium,TS-T2,2022-07-11 10:00:00,NA
2023-01-02 11:00:00,TS313,18.36218109718768,Working,2022-09-07 11:00:00,45.706989269251174,Medium,TS-T2,2022-08-06 11:00:00,NA
2023-01-02 12:00:00,TS313,24.206129773013707,Working,2022-08-18 12:00:00,68.49806648852598,Near,TS-T2,2022-09-26 12:00:00,NA
2023-01-02 13:00:00,TS313,21.562982727003103,Working,2022-07-30 13:00:00,60.901959310293506,Medium,TS-T2,2022-09-12 13:00:00,E302
2023-01-02 14:00:00,TS313,18.19321943102999,Working,2022-11-02 14:00:00,65.90904230407435,Medium,TS-T2,2022-11-07 14:00:00,NA
2023-01-02 15:00:00,TS313,21.519311085194836,Working,2022-08-03 15:00:00,59.686405137118555,Medium,TS-T2,2022-09-27 15:00:00,NA
2023-01-02 16:00:00,TS313,21.502456585775402,Needs Maintenance,2022-09-05 16:00:00,68.88765347358719,Near,TS-T2,2022-09-06 16:00:00,NA
2023-01-02 17:00:00,TS313,23.61814162935769,Working,2022-07-28 17:00:00,48.070506182161,Medium,TS-T2,2022-10-22 17:00:00,NA
2023-01-02 18:00:00,TS313,20.81092678607871,Working,2022-09-08 18:00:00,30.90525901031701,Medium,TS-T2,2022-11-08 18:00:00,NA
2023-01-02 19:00:00,TS313,23.928618331256388,Working,2022-09-11 19:00:00,66.48882240345495,Far,TS-T2,2022-08-18 19:00:00,NA
2023-01-02 20:00:00,TS313,24.76562820904821,Working,2022-09-29 20:00:00,54.02654910602379,Medium,TS-T2,2022-09-25 20:00:00,E301
2023-01-02 21:00:00,TS313,20.051442429613324,Down,2022-11-25 21:00:00,58.15863665069095,Medium,TS-T2,2022-11-07 21:00:00,NA
2023-01-02 22:00:00,TS313,23.09136688844184,Working,2022-07-29 22:00:00,33.11044069381832,Medium,TS-T2,2022-08-15 22:00:00,E302
2023-01-02 23:00:00,TS313,20.618849904985883,Working,2022-08-14 23:00:00,37.60462866452209,Near,TS-T2,2022-08-27 23:00:00,NA
2023-01-03 00:00:00,TS313,23.745265153934128,Down,2022-11-09 00:00:00,54.03663092404478,Medium,TS-T2,2022-10-01 00:00:00,NA
2023-01-03 01:00:00,TS313,21.94891965102139,Working,2022-09-22 01:00:00,57.84782793253779,Medium,TS-T2,2022-11-12 01:00:00,NA
2023-01-03 02:00:00,TS313,20.764446558886778,Working,2022-08-08 02:00:00,69.3820989229934,Medium,TS-T2,2022-09-16 02:00:00,E302
2023-01-03 03:00:00,TS313,20.80526527754875,Working,2022-09-20 03:00:00,47.71824601059848,Medium,TS-T2,2022-07-16 03:00:00,NA
